score	published	tickers	open	close
0.11764705882352944	2022-06-28	WHR	160.01	163.54
-0.6799999999999999	2022-04-07	ALRS	93.55	90
0.1538461538461538	2022-04-21	LKOH	3910	3974
0.3333333333333333	2022-04-22	LKOH	3821	3994
-0.7272727272727273	2022-05-05	NFLX	202.34	189.3
-0.375	2022-05-31	LKOH	4320	4175
0.3170731707317073	2022-07-08	QIWI	288	302
-0.935483870967742	2022-07-12	TWTR	33.87	30
-0.037037037037037035	2022-07-16	TWTR	38.26	38
-0.8378378378378379	2022-06-15	AFLT	27.18	25.94
-0.5897435897435896	2022-05-18	AFLT	30.36	28.4
-0.6744186046511629	2022-05-12	GAZP	241.89	230.56
0.23076923076923078	2022-07-06	GAZP	195.42	197.92
-0.2727272727272727	2022-04-29	GAZP	242.06	238.8
-0.8571428571428572	2022-04-14	GAZP	235	212.11
-0.7894736842105263	2022-03-29	MGNT	4155	3912
-0.6000000000000001	2022-03-29	MGNT	4155	4022
0.3636363636363636	2022-07-21	VKCO	35.7	36.3
-0.3548387096774193	2022-05-06	FLOT	42.64	40.84
-0.13043478260869562	2022-05-06	FLOT	42.64	41.28
-0.7058823529411764	2022-04-05	NLMK	171.88	162.5
-0.25	2022-04-29	CHMF	1096	1043
-0.6129032258064515	2022-06-15	GAZP	319	307.2
0.3181818181818182	2022-04-14	RTKM	60.26	62.28
0.8048780487804879	2022-04-27	RTKM	54.3	64.13
-0.5172413793103448	2022-07-27	RTKM	60.13	50.3
-0.4285714285714286	2022-06-08	RTKM	58.3	56.85
-0.43999999999999995	2022-06-08	RTKM	58.3	56.95
0.75	2022-07-04	RTKM	65.55	66.67
0.21212121212121215	2022-07-15	FEES	0.08682	0.08892
0.8	2022-06-29	ROSN	374.25	386.5
-0.4666666666666666	2022-06-04	ROSN	368.7	362.1
0.4545454545454546	2022-04-29	VKCO	35.4	36.6
-0.8461538461538463	2022-06-22	GAZP	300.1	291
-0.6774193548387097	2022-05-20	GAZP	268.46	263
0.5	2022-04-11	MGNT	4250	4310
0.7446808510638299	2022-04-26	MGNT	4335.5	4460
-0.696969696969697	2022-06-09	KROT	298	285
0.08333333333333331	2022-07-29	KHC	36.5	36.99
-0.1333333333333333	2022-06-15	RTKM	58.35	57.5
-0.9310344827586208	2022-06-07	DVEC	0.947	0.916
0.3636363636363636	2022-04-07	LKOH	5260	5299.5
-0.24137931034482762	2022-06-16	BKR	31.34	30.47
0.5652173913043479	2022-06-01	GAZP	290.25	299.5
0.28571428571428575	2022-07-24	GAZP	190.56	192
-0.588235294117647	2022-07-29	KHC	36.99	35
-0.5	2022-05-24	AAPL	141.9	137.34
0.2173913043478261	2022-04-26	MTSS	185	196.35
-0.1891891891891892	2022-04-29	NFLX	204.72	200.12
0.5555555555555556	2022-07-29	GAZP	193.5	196.8
0.31034482758620685	2022-04-28	TCSG	2500	2700
0.6756756756756757	2022-05-18	PEP	166.04	173.92
-0.8	2022-04-30	NVTK	1094.8	950
0.8888888888888888	2022-07-21	GAZP	183	198
-0.3333333333333333	2022-07-29	GAZP	193.5	195.26
0.7619047619047619	2022-07-21	GAZP	189.59	194.65
0.12000000000000005	2022-07-27	GAZP	194.5	196.49
-0.2592592592592593	2022-07-20	GAZP	195	188
-0.11111111111111116	2022-04-15	GAZP	222	217
-0.40740740740740744	2022-07-01	GAZP	200.48	192.5
0.7446808510638299	2022-05-01	GAZP	192.5	204
0.9130434782608696	2022-05-30	GAZP	250	300.8
-0.5172413793103448	2022-05-30	GAZP	300	270
-0.5789473684210527	2022-05-31	GAZP	290	270
0.28571428571428575	2022-07-11	GAZP	189.9	196
0.10344827586206895	2022-06-18	GAZP	311.98	316.06
-0.4545454545454546	2022-05-21	GAZP	265.44	255
-0.6190476190476191	2022-04-27	GAZP	237.15	226.01
-0.6000000000000001	2022-04-01	GAZP	251.4	245.9
-0.3913043478260869	2022-07-30	GAZP	194.5	192
-0.6774193548387097	2022-07-30	GAZP	196.5	190
-0.4166666666666667	2022-07-22	GAZP	192.25	188
-0.39999999999999997	2022-07-04	GAZP	191.99	186.25
0.21052631578947367	2022-07-16	GAZP	189	191
0.3333333333333333	2022-07-16	GAZP	188	191
0.28	2022-07-16	GAZP	188.5	191
0.20930232558139533	2022-05-20	GAZP	268.46	272
0.22222222222222227	2022-07-30	GAZP	192	195
-0.37931034482758624	2022-05-21	GAZP	273	265.44
-0.3333333333333333	2022-06-01	GAZP	297.69	293.5
-0.4444444444444444	2022-04-05	GAZP	254	243.5
-0.31034482758620685	2022-04-05	GAZP	254	248.8
-0.5813953488372092	2022-07-13	GAZP	191.22	185.3
0.39534883720930236	2022-06-21	GAZP	301.58	312.31
0.3658536585365854	2022-07-30	GAZP	245.4	251.9
-0.47826086956521735	2022-07-25	GAZP	192.6	185
-0.6000000000000001	2022-06-15	GAZP	319	313.2
-0.2888888888888889	2022-06-14	GAZP	314.99	309.98
-0.5555555555555556	2022-06-14	GAZP	317.69	308.98
-0.24137931034482762	2022-07-27	GAZP	196.49	194.5
-0.7575757575757576	2022-07-18	GAZP	189	171
0.35000000000000003	2022-05-10	GAZP	237.58	241.99
0.14285714285714285	2022-04-26	GAZP	207.97	225.85
-0.37931034482758624	2022-04-26	GAZP	225.85	207.97
0.7837837837837838	2022-04-28	GAZP	239.4	249
-0.1875	2022-07-25	GAZP	194.65	192
0.6818181818181819	2022-05-05	GAZP	234.54	239.6
0.5609756097560976	2022-05-03	GAZP	234	241
0.6585365853658536	2022-06-27	GAZP	296	296.2
0.44999999999999996	2022-06-15	GAZP	314	319
0.6470588235294117	2022-06-08	AFLT	27.54	31.54
-0.5	2022-06-28	IBM	144.14	138.5
-0.24137931034482762	2022-04-25	AFLT	30.5	28.66
0.75	2022-04-04	AFLT	39.52	41.9
0.8139534883720929	2022-04-29	AFLT	30.84	31.14
0.7575757575757576	2022-07-13	AFLT	25.54	27.68
-0.8974358974358974	2022-05-13	AFLT	30	28
-0.4615384615384615	2022-05-18	AFLT	30.36	28.4
-0.5454545454545454	2022-06-03	AFLT	26.8	26.74
-0.8518518518518519	2022-06-03	AFLT	26.8	26.14
-0.36170212765957444	2022-06-02	AFLT	27.94	26.98
0.5675675675675675	2022-04-12	AFLT	32.4	35
0.5135135135135136	2022-06-29	AFLT	27.8	29.1
0.9285714285714286	2022-07-27	AFLT	26	29
0.6296296296296295	2022-07-22	AFLT	26	28
0.7058823529411764	2022-05-12	AFLT	29.14	30.02
0.4666666666666666	2022-06-10	AFLT	26.36	26.58
0.8181818181818181	2022-05-13	AFLT	29.5	30
0.8787878787878789	2022-04-25	AFLT	28	30.5
0.7777777777777777	2022-05-04	AFLT	32.12	32.68
0.9183673469387754	2022-07-06	AFLT	28.16	31.48
-0.2432432432432432	2022-04-03	GAZP	254.03	252.9
-0.7241379310344827	2022-07-26	GAZP	194.49	191.2
0.3125	2022-05-04	TWTR	49.1	48.66
-0.37931034482758624	2022-05-23	AAPL	142.06	137.53
0.4545454545454546	2022-04-19	TWTR	47.62	48.17
0.2571428571428571	2022-04-24	TWTR	158.47	160
-0.5135135135135136	2022-05-13	FLOT	40.73	40
-0.588235294117647	2022-05-06	1810	11.10	11.04
-0.5	2022-05-13	FLOT	40.73	40.1
0.22580645161290325	2022-06-08	TWTR	40.09	40.73
-0.3076923076923077	2022-07-08	TWTR	37.21	36.88
-0.12000000000000005	2022-04-27	V	217.74	211.11
0.7435897435897436	2022-04-05	V	225.46	228.87
0.6363636363636365	2022-04-28	VKCO	3.6	3.67
0.7037037037037037	2022-04-28	VKCO	3.6	3.72
0.5416666666666667	2022-04-28	VKCO	3.6	3.65
-0.6551724137931034	2022-04-28	VKCO	3.67	3.6
0.4482758620689655	2022-03-31	VKCO	3.6	3.63
0.3142857142857143	2022-04-15	VKCO	3.6	3.62
0.5652173913043479	2022-04-15	VKCO	3.6	3.66
0.6666666666666667	2022-07-28	VKCO	3.6	3.67
0.19999999999999996	2022-04-28	VEON-RX	66	67.2
-0.5789473684210527	2022-04-28	VEON-RX	68.4	6.4
-0.6666666666666667	2022-06-28	VEON-RX	42.7	40
-0.5625	2022-06-28	VEON-RX	42.7	41
-0.5555555555555556	2022-07-22	GAZP	192.25	189
-0.7037037037037037	2022-05-31	UBER	23.56	21.1
0.6111111111111112	2022-04-06	TWTR	52	53
-0.37931034482758624	2022-07-09	TWTR	36.81	34.65
-0.6551724137931034	2022-07-09	TWTR	36.81	32.65
-0.4285714285714286	2022-07-13	TWTR	36.75	36.29
-0.5714285714285714	2022-04-28	TWTR	49.3	49.02
-0.5714285714285714	2022-04-08	TWTR	71.2	70.1
-0.5757575757575757	2022-05-15	TWTR	45	44
-0.8064516129032258	2022-05-26	TWTR	40.17	40
-0.35294117647058826	2022-05-26	TWTR	40.17	40.14
-0.36170212765957444	2022-04-15	TWTR	45	48
-0.23076923076923078	2022-07-28	NVTK	1039	1025.2
-0.6666666666666667	2022-04-28	NVTK	1092	1065
-0.21428571428571425	2022-06-17	TWTR	37.8	38.5
0.23076923076923078	2022-04-15	NYT	44.21	44.65
0.08108108108108109	2022-06-25	VKCO	3.6	3.6
-0.1538461538461538	2022-06-25	VKCO	3.62	3.6
0.7209302325581395	2022-07-12	VKCO	3.6	3.72
-0.7142857142857142	2022-07-27	GAZP	194.5	196.49
-0.5294117647058822	2022-07-28	GAZP	198	196.25
-0.1333333333333333	2022-05-12	LKOH	4550	4362.5
-0.125	2022-07-28	LKOH	3870	3831
-0.28	2022-07-28	GAZP	198	196.25
-0.5555555555555556	2022-04-20	GAZP	221.43	215.63
-0.4482758620689655	2022-07-18	GAZP	189	185.52
0.2195121951219512	2022-04-26	TWTR	12.20	12.02
-0.6190476190476191	2022-07-27	LMT	400	396
-0.0714285714285714	2022-07-19	GAZP	186	190
-0.4545454545454546	2022-05-06	QIWI	318	319
0.5789473684210527	2022-06-23	POLY	456.5	461.1
0.46341463414634143	2022-04-25	POLY	700	734
-0.29411764705882354	2022-07-19	POLY	326.1	289.2
-0.22222222222222227	2022-07-19	POLY	326.1	299.2
-0.6190476190476191	2022-05-04	CBOM	5.583	5.47
0.5	2022-05-11	PM	99.6	102.7
-0.7142857142857142	2022-05-23	PFE	51.8	53.2
-0.31034482758620685	2022-04-26	GAZP	207.97	200.54
0.588235294117647	2022-05-20	GAZP	268.46	278
-0.5135135135135136	2022-04-12	NOK	5.32	5.25
0.6799999999999999	2022-04-20	TWTR	48.92	49
0.8378378378378379	2022-04-20	TWTR	48.92	49
0.6000000000000001	2022-04-16	TWTR	45	48
-0.6744186046511629	2022-04-20	NFLX	215	190
0.27777777777777773	2022-07-07	NFLX	187	189
-0.17073170731707316	2022-07-20	NFLX	515	517
-0.631578947368421	2022-05-27	NFLX	502	494
0.6071428571428572	2022-06-15	NFLX	175	180
0.35000000000000003	2022-04-20	NFLX	215	210
0.8518518518518519	2022-06-13	NFLX	175	190
0.4090909090909091	2022-05-07	TWTR	44	41
-0.1578947368421053	2022-06-06	AAPL	148.55	146.53
-0.5454545454545454	2022-06-27	MCO	278	270
-0.411764705882353	2022-07-15	MCO	282	281
-0.8888888888888888	2022-07-15	MCO	282	273
-0.7037037037037037	2022-04-15	MCO	325	323
-0.3333333333333333	2022-03-28	MCO	340	342
0.05882352941176472	2022-05-06	MCO	300	292
-0.5151515151515151	2022-03-31	MCO	340	335
-0.30000000000000004	2022-03-31	MCO	340	337
-0.19999999999999996	2022-05-26	MCO	300	290
-0.8620689655172413	2022-07-28	MA	352.17	340.59
-0.631578947368421	2022-05-05	FLOT	44.03	42.7
-0.2272727272727273	2022-07-29	KHC	36.82	36.61
-0.48148148148148145	2022-07-29	KHC	36.82	36.61
-0.42105263157894735	2022-03-29	JNJ	179.35	177
-0.31034482758620685	2022-07-02	JPM	114.19	112
-0.5151515151515151	2022-06-07	IBM	142.72	139
-0.375	2022-04-01	GAZP	245.9	252.9
-0.853658536585366	2022-04-23	HAL	36.8	33.98
0.2432432432432432	2022-07-07	VKCO	3.6	3.64
0.4666666666666666	2022-07-04	BKNG	1744.62	1767.9
0.641025641025641	2022-04-20	VKCO	3.6	3.72
0.5897435897435896	2022-07-01	C	45.36	47
-0.4285714285714286	2022-04-29	AAPL	166.15	159.45
0.4615384615384615	2022-05-17	GAZP	246.01	258.8
0.0625	2022-06-16	LKOH	4116.5	4261.5
-0.6923076923076923	2022-06-07	IBM	142.72	140
-0.5652173913043479	2022-07-29	JPM	116	114
-0.6585365853658536	2022-07-29	JPM	116.5	114
-0.631578947368421	2022-06-23	CSCO	43.81	41.1
-0.17948717948717952	2022-04-26	TWTR	49	44
0.4375	2022-05-05	TWTR	50	44
0.5172413793103448	2022-05-26	VMW	119.75	124.13
-0.05555555555555558	2022-05-07	BKNG	2062.11	2049.14
-0.16129032258064518	2022-04-08	BKNG	2067.11	2041.14
-0.8	2022-07-26	AFLT	28.88	27.76
0.5428571428571429	2022-04-25	TWTR	49	49.8
0.5	2022-06-10	AAPL	137.71	143.32
-0.45945945945945943	2022-07-18	AAPL	151.65	148
0.06382978723404253	2022-05-07	GAZP	239.8	241.99
-0.5714285714285714	2022-03-31	AAPL	177.7	176.17
0.34883720930232553	2022-06-14	VKCO	3.6	3.65
0.39999999999999997	2022-05-12	GAZP	230.56	241.89
-0.3333333333333333	2022-07-11	TWTR	38.3	37.7
0.6571428571428573	2022-07-05	VKCO	3.6	36.9
-0.47368421052631576	2022-06-20	BAYN@DE	49.65	49.06
0.7857142857142858	2022-05-06	AAPL	147	157
0.16666666666666669	2022-07-07	AAPL	147	150
-0.21212121212121215	2022-03-29	AAPL	174	170
-0.4666666666666666	2022-05-11	AAPL	147	137
0.5	2022-06-06	AAPL	131	137
0.6170212765957446	2022-04-29	AAPL	157.23	157.88
0.3333333333333333	2022-06-15	AAPL	131	136
-0.3636363636363636	2022-07-12	AAPL	152	150
0.375	2022-07-26	BABA	100.86	105.33
0.08000000000000002	2022-07-13	AAPL	150	151
-0.3513513513513513	2022-06-10	ADS@DE	211.62	196.95
0.8787878787878789	2022-07-27	UPRO	1.424	1.424
0.8095238095238095	2022-07-29	ENRU	0.4614	0.4636
-0.47368421052631576	2022-07-27	NVTK	1038	1017
0.09677419354838707	2022-07-28	NVTK	1016.8	1025.2
-0.3125	2022-07-29	MSNG	1.888	1.849
0.6521739130434783	2022-07-26	MGNT	4351	4512
0.8421052631578947	2022-07-28	LENT	709.5	785
0.8867924528301887	2022-07-26	LKOH	3694	3825
0.7826086956521738	2022-07-27	KAZT	384	389
-0.3333333333333333	2022-07-30	GAZP	196.25	195.26
-0.21428571428571425	2022-07-29	GAZP	194.5	192
0.574468085106383	2022-07-26	GAZP	192	196.5
0.7142857142857142	2022-07-27	AFLT	28.1	27.76